,id,track_name,artist_name,artist_pop,artist_genres,album,track_pop,valence,energy,danceability,loudness,speechiness,acousticness,instrumentalness,liveness,mode,key,tempo,duration_ms,time_signature,mood
3122,7gW7P5fSXb922JTGVG8GVT,Funny,Pantone,43,lo-fi beats,Funny,39,0.175,0.602,0.739,-7.392,0.0553,0.0377,0.765,0.876,0,1,79.985,126000,4,calm
3123,6dDHl7w3aoygIxg6HDELgh,Nightcap,Another One,29,unknown,Nightcap,44,0.299,0.303,0.602,-16.202,0.224,0.98,0.924,0.112,1,0,74.553,89600,4,calm
3124,2Ip4m74njkmrrEnoeat1Xb,Bondi,Kid City,46,lo-fi beats,Bondi,41,0.0871,0.0774,0.488,-26.28,0.0294,0.936,0.949,0.107,1,5,84.034,137143,4,calm
3125,7BXyrOfj7T9uHfZucu0hAM,Always By My Side,Krynoze,56,lo-fi beats,Always By My Side,48,0.0392,0.135,0.491,-19.97,0.0358,0.985,0.902,0.106,1,10,139.715,140000,4,calm
3126,5fKJAcG5GYHuk2vSEGKun9,Sunday Evening,Devon Rea,54,unknown,Sunday Evening,41,0.367,0.277,0.773,-17.699,0.0593,0.914,0.609,0.0988,1,0,97.984,97959,4,calm
3127,0HE9PtObZvF908zvKbtMPp,Blue Nights,lechiffrebeats,45,unknown,Blue Nights / Sunlight,43,0.241,0.323,0.554,-18.361,0.0547,0.644,0.668,0.103,0,10,159.067,126792,3,calm
3128,6zqkZyRjraoCoS5dWgQMOu,running away,nomar.wav,35,unknown,running away,30,0.581,0.202,0.607,-20.318,0.0537,0.972,0.943,0.117,1,0,149.799,90000,4,calm
3129,3sEDpu7ZcVYDGNbOV6eblc,Bridges,softy,64,lo-fi beats,Bridges,48,0.0787,0.287,0.535,-9.992,0.0359,0.882,0.901,0.106,0,5,79.979,141187,4,calm
3130,0RaTFbCKKGTpiqqQroXW2d,Long Days And Longer Nights,skyswimming,43,unknown,Long Days And Longer Nights,38,0.133,0.245,0.546,-13.583,0.0312,0.978,0.846,0.109,0,5,167.912,128696,4,calm
3131,1h2MsYlHMDmuYPMaN7rqiY,Cafe Con Leche,Lé Mon,47,lo-fi beats,Cafe Con Leche,41,0.0949,0.172,0.668,-17.73,0.0393,0.933,0.902,0.0972,0,9,143.843,110000,4,calm
3132,4gKvs3VsnSFtPlcNiDwFgN,Planets Over There,Bcalm,57,focus beats,Planets Over There,46,0.126,0.165,0.757,-12.756,0.0405,0.799,0.885,0.103,0,2,128.037,135938,4,calm
3133,4RgPUr1n6bICbszd0cNfa2,Every Second,aimless,49,chillhop,Cozy Winter,47,0.164,0.164,0.693,-11.554,0.0947,0.838,0.872,0.0895,0,9,74.026,171599,4,calm
3134,0t2Bqum4FzoaEndf3A4E1S,Forever In Your Embrace,Blocktane,45,unknown,Journey Through The Universe,37,0.057,0.253,0.468,-14.762,0.0392,0.963,0.87,0.134,1,0,160.158,171000,4,calm
3135,6BhsiKmMLJilfQSAcKznwl,Frosty,Noji,48,lo-fi beats,Frosty,45,0.0747,0.126,0.583,-21.052,0.0418,0.945,0.849,0.133,0,5,79.989,111000,4,calm
3136,4SPUVPV2Db8B5xDaFWg9rD,Now That You're Gone,Kavv,46,chillhop,Now That You're Gone,47,0.371,0.289,0.819,-9.791,0.417,0.935,0.918,0.101,0,5,85.02,120004,4,calm
3137,4XDdCJaSJwRlfaFyqk9Nqs,Midnight Reverie,sftspkn,45,focus beats,Midnight Reverie,40,0.19,0.23,0.713,-12.066,0.209,0.683,0.792,0.11,1,1,156.031,150769,4,calm
3138,22G8oUmXRTplP0JSkyCyac,Record Collection,No Catch,35,unknown,Record Collection,43,0.421,0.216,0.607,-18.784,0.0354,0.953,0.917,0.0943,1,11,80.015,112500,4,calm
3139,6olrZxU7zlcIPtOhnSx3Qa,dunes,home grown,46,lo-fi beats,dunes,46,0.0392,0.126,0.578,-24.071,0.0607,0.961,0.894,0.11,0,1,79.989,111000,4,calm
3140,4BqhlPaX9Jq8c2pDAEaE6O,Yuzu,Loafy Building,51,lo-fi beats,Butterflies,46,0.317,0.169,0.762,-17.397,0.0626,0.914,0.942,0.105,0,8,140.013,110571,4,calm
3141,4ZydlNMOd1dtWIuobsQSsg,Enduring,wood.,47,lo-fi beats,Enduring,46,0.0718,0.19,0.517,-16.319,0.0289,0.812,0.862,0.377,0,3,62.493,171254,4,calm
3142,02SpvOPo32crRpMAVwxAWz,leave the lights on,home grown,46,lo-fi beats,leave the lights on,45,0.179,0.208,0.668,-16.031,0.0565,0.955,0.931,0.0922,1,10,73.98,120000,4,calm
3143,2IQmpmHWvnWU1vcxn4nz5n,Sunlight,lechiffrebeats,45,unknown,Blue Nights / Sunlight,37,0.143,0.13,0.373,-20.52,0.0353,0.867,0.942,0.104,1,8,65.839,145455,4,calm
